emoji,emoji_name,love_score
😀,grinning face,68.73
😃,grinning face with big eyes,80.8
😄,grinning face with smiling eyes,74.35
😁,beaming face with smiling eyes,49.17
😆,grinning squinting face,76.07
😅,grinning face with sweat,68.73
🤣,rolling on the floor laughing,46.37
🙂,slightly smiling face,56.18
🙃,upside-down face,21.99
🫠,melting face,24.15
😉,winking face,43.84
😊,smiling face with smiling eyes,79.98
😇,smiling face with halo,79.98
🥰,smiling face with hearts,79.98
😍,smiling face with heart-eyes,79.98
🤩,star-struck,58.51
😘,face blowing a kiss,46.27
😗,kissing face,88.91
☺️,smiling face,79.98
☺,smiling face,79.98
😚,kissing face with closed eyes,52.89
😙,kissing face with smiling eyes,84.45
🥲,smiling face with tear,53.23
😋,face savoring food,60.1
😜,winking face with tongue,43.84
😝,squinting face with tongue,83.41
🤗,smiling face with open hands,68.12
🫢,face with open eyes and hand over mouth,56.25
🫣,face with peeking eye,30.87
🤫,shushing face,76.8
🤔,thinking face,94.79
🫡,saluting face,22.02
🤨,face with raised eyebrow,70.65
😐,neutral face,4.99
🫥,dotted line face,17.62
😏,smirking face,45.46
😒,unamused face,38.23
🙄,face with rolling eyes,56.67
😬,grimacing face,71.84
😮‍💨,face exhaling,82.04
🤥,lying face,73.56
🫨,shaking face,48.56
😌,relieved face,26.16
😔,pensive face,81.8
🤤,drooling face,48.68
😴,sleeping face,47.84
😷,face with medical mask,8.82
🤢,nauseated face,73.2
🤮,face vomiting,52.2
🤧,sneezing face,65.61
🥵,hot face,52.72
🥶,cold face,80.04
🥴,woozy face,58.2
😵,face with crossed-out eyes,22.9
😵‍💫,face with spiral eyes,35.02
🤯,exploding head,28.29
🥳,partying face,2.58
🥸,disguised face,68.91
😎,smiling face with sunglasses,79.98
🤓,nerd face,21.05
😕,confused face,34.9
🫤,face with diagonal mouth,11.01
😟,worried face,43.04
🙁,slightly frowning face,45.28
☹️,frowning face,58.19
☹,frowning face,58.19
😮,face with open mouth,56.25
😯,hushed face,57.8
😲,astonished face,66.57
😳,flushed face,42.41
🥺,pleading face,56.94
🥹,face holding back tears,86.17
😦,frowning face with open mouth,57.22
😧,anguished face,52.33
😨,fearful face,39.52
😰,anxious face with sweat,56.26
😥,sad but relieved face,46.81
😢,crying face,87.62
😭,loudly crying face,64.81
😱,face screaming in fear,65.39
😖,confounded face,47.29
😣,persevering face,71.95
😞,disappointed face,47.93
😓,downcast face with sweat,73.49
😩,weary face,63.3
😫,tired face,57.02
🥱,yawning face,61.51
😡,enraged face,14.35
😠,angry face,47.2
😈,smiling face with horns,79.98
👿,angry face with horns,47.2
🤡,clown face,7.16
😺,grinning cat,68.73
😸,grinning cat with smiling eyes,74.35
😻,smiling cat with heart-eyes,79.98
😽,kissing cat,88.91
🙀,weary cat,63.3
😿,crying cat,87.62
😾,pouting cat,86.67
🙈,see-no-evil monkey,84.38
🙉,hear-no-evil monkey,79.08
🙊,speak-no-evil monkey,72.01
💖,sparkling heart,67.16
💗,growing heart,81.11
💓,beating heart,49.89
💞,revolving hearts,33.9
💔,broken heart,35.54
❤️‍🩹,mending heart,25.36
❤‍🩹,mending heart,25.36
❤️,red heart,67.19
❤,red heart,67.19
🩷,pink heart,71.81
💛,yellow heart,24.73
💚,green heart,51.81
💙,blue heart,59.21
🩵,light blue heart,69.53
💜,purple heart,62.62
🤎,brown heart,63.74
🖤,black heart,63.58
🤍,white heart,47.68
💋,kiss mark,88.91
💨,dashing away,53.18
🗨️,left speech bubble,82.08
🗨,left speech bubble,82.08
🗯️,right anger bubble,47.03
🗯,right anger bubble,47.03
💭,thought balloon,94.79
👋,waving hand,5.92
👋🏻,waving hand: light skin tone,42.89
👋🏼,waving hand: medium-light skin tone,5.92
👋🏽,waving hand: medium skin tone,5.92
👋🏾,waving hand: medium-dark skin tone,5.92
👋🏿,waving hand: dark skin tone,5.92
🤚,raised back of hand,70.65
🤚🏻,raised back of hand: light skin tone,75.25
🤚🏼,raised back of hand: medium-light skin tone,70.65
🤚🏽,raised back of hand: medium skin tone,70.65
🤚🏾,raised back of hand: medium-dark skin tone,70.65
🤚🏿,raised back of hand: dark skin tone,70.65
🖐️,hand with fingers splayed,49.31
🖐,hand with fingers splayed,49.31
🖐🏻,hand with fingers splayed: light skin tone,64.58
🖐🏼,hand with fingers splayed: medium-light skin tone,56.28
🖐🏽,hand with fingers splayed: medium skin tone,49.31
🖐🏾,hand with fingers splayed: medium-dark skin tone,49.31
🖐🏿,hand with fingers splayed: dark skin tone,69.9
✋,raised hand,70.65
✋🏻,raised hand: light skin tone,70.65
✋🏼,raised hand: medium-light skin tone,70.65
✋🏽,raised hand: medium skin tone,70.65
✋🏾,raised hand: medium-dark skin tone,70.65
✋🏿,raised hand: dark skin tone,70.65
🖖,vulcan salute,50.05
🖖🏻,vulcan salute: light skin tone,50.05
🖖🏼,vulcan salute: medium-light skin tone,64.95
🖖🏽,vulcan salute: medium skin tone,50.05
🖖🏾,vulcan salute: medium-dark skin tone,50.05
🖖🏿,vulcan salute: dark skin tone,50.05
🫱🏻,rightwards hand: light skin tone,79.85
🫲🏻,leftwards hand: light skin tone,79.85
🫳,palm down hand,6.4
🫳🏻,palm down hand: light skin tone,43.12
🫳🏼,palm down hand: medium-light skin tone,6.4
🫳🏽,palm down hand: medium skin tone,6.4
🫳🏾,palm down hand: medium-dark skin tone,6.4
🫳🏿,palm down hand: dark skin tone,48.45
🫴🏻,palm up hand: light skin tone,79.85
🫷,leftwards pushing hand,44.59
🫷🏻,leftwards pushing hand: light skin tone,44.59
🫷🏼,leftwards pushing hand: medium-light skin tone,44.59
